state,action,reward(average)
1|8|2|2,3,0.0
1|8|2|2,0,0.0
1|8|2|2,2,11.0
2|1|0|0,4,0.3333333333333333
2|1|0|0,3,0.0
2|1|0|0,0,1.6934036939313983
2|1|0|0,6,0.3333333333333333
2|1|0|0,7,0.0
2|1|0|0,5,0.0
2|4|0|0,0,1.421752738654147
2|4|0|0,5,0.3333333333333333
2|4|0|0,7,0.2
2|4|0|0,6,0.25
2|4|0|0,3,0.6666666666666666
2|4|0|0,1,0.0
0|7|1|1,7,0.19827586206896552
0|7|1|1,1,1.1885406464250734
0|7|1|1,2,0.5
0|7|1|1,4,0.4
0|7|1|1,3,0.3333333333333333
0|7|1|1,6,0.0
0|7|1|1,5,0.0
7|8|1|1,6,0.0
7|8|1|1,1,11.0
7|8|1|1,2,0.0
7|8|1|1,0,0.0
7|8|1|1,4,0.0
6|8|1|1,3,0.0
6|8|1|1,0,0.0
6|8|1|1,4,0.0
6|8|1|1,5,0.0
6|8|1|1,2,0.0
6|8|1|1,7,0.0
6|8|1|1,1,11.0
3|8|1|1,6,0.0
3|8|1|1,7,0.0
3|8|1|1,1,11.0
3|8|1|1,2,0.0
0|1|1|2,4,0.20522388059701493
0|1|1|2,3,0.0
0|1|1|2,5,0.0
0|1|1|2,7,0.0
4|2|1|1,3,0.0
4|2|1|1,2,0.0
4|2|1|1,6,0.0
4|2|1|1,7,0.40327868852459015
4|2|1|1,5,0.0
4|2|1|1,0,0.0
3|2|1|1,5,0.352112676056338
3|2|1|1,2,0.25
3|2|1|1,0,0.0
3|2|1|1,7,0.3333333333333333
3|2|1|1,6,0.4316109422492401
1|4|2|2,0,0.0
1|4|2|2,5,0.4692982456140351
1|4|2|2,4,0.0
1|4|2|2,2,1.5917782026768643
1|4|2|2,7,0.0
1|4|2|2,6,1.0
1|4|2|2,3,0.5
0|4|2|2,6,0.47058823529411764
0|4|2|2,5,0.4
0|4|2|2,2,1.5793742757821552
0|4|2|2,3,0.0
0|4|2|2,7,1.0
0|4|2|2,1,0.0
6|5|2|3,7,0.0
6|5|2|3,1,0.0
6|5|2|3,2,0.0
6|5|2|3,4,0.8571428571428571
6|5|2|3,3,1.055045871559633
3|2|2|1,4,0.45977011494252873
3|2|2|1,1,1.0
4|3|2|1,3,0.36363636363636365
3|4|2|2,1,0.12408759124087591
3|4|2|2,4,0.0
3|4|2|2,7,0.0
3|4|2|2,5,0.0
3|4|2|2,2,1.7955801104972375
3|4|2|2,0,1.0
1|5|2|2,3,0.3
1|5|2|2,7,0.0
1|5|2|2,5,0.3333333333333333
1|5|2|2,4,0.4489795918367347
1|5|2|2,2,1.2045454545454546
1|5|2|2,0,0.0
1|5|2|2,6,0.5
3|5|2|2,4,0.0
3|5|2|2,5,0.5109489051094891
3|5|2|2,0,0.0
3|5|2|2,6,0.5
3|5|2|2,2,1.4413965087281795
4|5|2|2,1,0.0
4|5|2|2,2,1.3942798774259448
4|5|2|2,5,1.0
4|5|2|2,0,0.0
3|2|1|2,2,1.4224598930481283
3|2|1|2,1,0.0
3|2|1|2,4,0.0
7|4|1|1,2,0.3333333333333333
7|4|1|1,6,0.25
7|4|1|1,3,0.42328042328042326
7|4|1|1,4,0.25
7|4|1|1,5,0.3333333333333333
7|4|1|1,0,0.0
7|4|1|1,1,1.5714285714285714
6|6|1|1,2,0.2
6|6|1|1,7,0.3333333333333333
6|6|1|1,0,0.0
6|6|1|1,1,1.1867403314917127
6|6|1|1,4,0.5
6|6|1|1,5,0.6666666666666666
6|6|1|1,3,0.3333333333333333
2|6|1|1,4,0.4
2|6|1|1,6,0.0
2|6|1|1,3,0.4791666666666667
2|6|1|1,1,1.2105263157894737
2|6|1|1,5,0.0
2|6|1|1,7,0.0
2|6|1|1,0,0.0
7|1|0|1,6,0.2297872340425532
